grant_title,id,organization,total_amount,group,Grant start date,start_month,start_day,start_year
Caius,7,Caius,301265614,medium,9/24/2009,9,24,2009
Churchill,10,Churchill,193626949,medium,10/28/2009,10,28,2009
Clare College,15,Clare College,159707000,high,10/28/2009,10,28,2009
Clare Hall,25,Clare Hall,28549379,medium,11/17/2009,11,17,2009
Corpus,5,Corpus,17218402,medium,10/12/2009,10,12,2009
Darwin,21,Darwin,59128159,low,11/04/2009,11,4,2009
Downing,13,Downing,179589298,medium,11/02/2009,11,2,2009
Emmanuel,9,Emmanuel,206735941,high,11/16/2009,11,16,2009
Fitzwilliam,19,Fitzwilliam,115244000,low,3/24/2010,3,24,2010
Girton,20,Girton,120009436,medium,10/29/2009,10,29,2009
Hughes hall,24,Hughes hall,53574796,low,1/28/2010,1,28,2010
Jesus College,3,Jesus College,444404421,high,11/12/2009,11,12,2009
King's,8,King's,279561000,high,10/29/2009,10,29,2009
Lucy Cavendish,23,Lucy Cavendish,54670593,low,10/30/2009,10,30,2009
Magdalene,14,Magdalene,178363845,medium,11/02/2009,11,2,2009
Murray Edwards,17,Murray Edwards,102098908,low,11/13/2009,11,13,2009
Newnham,12,Newnham,167487969,low,11/02/2009,11,2,2009
Pembroke,11,Pembroke,193291180,medium,11/02/2009,11,2,2009
Peterhouse,6,Peterhouse,171887000,medium,6/30/2009,6,30,2009
Robinson,22,Robinson,90327000,low,10/01/2008,10,1,2008
Selwyn,16,Selwyn,135181964,medium,11/10/2009,11,10,2009
St Eddies,26,St Eddies,23037724,low,5/13/2009,5,13,2009
St John's College,2,St John's College,695648000,high,08/03/2009,8,3,2009
Trinity College,1,Trinity College,966500000,high,02/04/2010,2,4,2010
Trinity Hall,4,Trinity Hall,281588663,high,03/11/2010,3,11,2010
Wolfson,18,Wolfson,104902932,low,11/01/2009,11,1,2009
